date	event
2015/10/13	First Democratic debate is held in Las Vegas, Nevada at the Wynn Casino
2015/11/4	Candidate registration for New Hampshire primary
2015/11/6	Deadline for filing for the Alabama primary
2015/11/6	First in the South Democratic Forum featuring Martin O'Malley, Bernie Sanders, and Hillary Clinton broadcast on MSNBC from Winthrop University in Rock Hill, South Carolina
2015/11/9	Deadline for filing for the Arkansas primary
2015/11/14	Second Democratic debate to be held in Des Moines, Iowa
2015/12/19	Third Democratic debate in Manchester, New Hampshire
